ID,Author,Year,n.c,n.e,mean.e,sd.e,mean.c,sd.c,group
1,Tong et al.,1997,125,115,6.25,5.39,9.52,7.5,IVA
5,Recart et al.,2003,30,30,6,5,8,8,Combined
7,Kreuer et al.,2005,40,40,4.2,2.1,4.7,2.2,Combined
10,Boztug et al.,2006,23,24,4.6,2.1,7.8,3.6,Combined
31,Bresil et al.,2013,12,12,20.6,7.2,16.22,5.09,IVA
31,Bresil et al.,2013,16,14,14.82,3.35,17.57,5.62,IVA
31,Bresil et al.,2013,15,18,9.73,3.94,8.9,3.46,IVA
31,Bresil et al.,2013,35,35,8.5,3.9,8.98,4.29,IVA
40,Guo et al,2015,40,40,7.9,0.58,8.35,0.66,IVA
41,Sargin et al.,2015,20,20,8.39,2.29,12.36,2.77,Combined
18,徐源,2010,33,33,4.59,2.40,7.06,1.69,IVA
24,王占天,2011,30,30,2.54,0.06,5.37,0.09,IVA
25,陈金篆,2011,20,20,20.7,4.1,32,3.4,IVA
50,张晓青,2017,27,30,8.5,4.5,20,6.2,IVA
54,陈星曲,2018,34,35,10.4,4.27,10.44,6.99,IVA
59,王芳茹,2018,73,73,9.53,2.01,21.56,1.98,Combined
16,杨宁,2009,20,20,7,1.5,11,1.4,IVA
75,李其金等,2021,46,46,5.6,1.9,7.4,1.4,IVA
70,张爱萍等,2020,70,70,5.6,1.3,7.5,2.3,IVA
71,陈新凯等,2020,55,55,5.69,0.97,7.32,1.31,IVA
96,Bruhn et al.,2005,71,71,5.9,3.4,5.6,2.5,Combined
97,Ellerkmann et al.,2010,27,27,6.8,2.9,7.3,2.9,IVA
98,Kamal et al.,2009,28,29,4.1,1.6,4.4,1.9,Combined
7,Kreuer et al.,2003,40,40,3.5,2.9,9.3,5.2,Combined
103,White et al.,2004,20,20,7,3,9,4,Combined
104,Basar et al.,2003,30,30,8.25,1.8,8.59,1.02,Combined
15,Ibraheim et al.,2008,15,15,6.8,2.14,8.66,2.69,Combined
7,Kreuer et al.,2005,40,40,4.2,2.1,4.7,2.2,Combined
4,Puri et al.,2003,16,14,18.5,11.5,28,15,Combined
3,Wong et al.,2002,31,29,4,2.1,4.9,3.4,Combined
