ID,Author,Year,n.c,n.e,mean.e,sd.e,mean.c,sd.c,group
2,Bannister et al.,2001,28,32,30.1,14.5,32,17.6,Child
2,Bannister et al.,2001,34,33,24.8,14.9,25.7,11.8,Child
2,Bannister et al.,2001,35,40,27.7,17.1,33.2,20.3,Child
8,Messieha et al.,2005,14,15,133,31,143,33,Child
19,Liao et al.,2011,54,52,28.4,11.2,30.2,14,Child
41,Sargin et al.,2015,20,20,51.65,1.66,47.65,1.43,Child
24,王占天,2011,30,30,38.5,8.4,40.1,9.3,Child
45,杜卫东,2015,40,40,80.9,12.8,83.2,13.7,Child
3,Wong et al.,2002,31,29,90,16,92,16,Old
11,Zohar et al.,2006,25,25,31,22,28,16,Old
36,Nitzschke et al.,2014,29,31,246.3,72.7,235.4,61.1,Old
52,Zhou et al.,2018,40,41,155.44,14.72,154.53,13.81,Old
73,Brown et al.,2021,106,111,126.52,39.06,134.57,39.83,Old
22,刘稚媛,2011,38,38,108.64,16.45,116.14,18.71,Old
39,段静辉,2014,41,41,4.2,0.6,4.1,0.8,Old
48,孙占磊,2016,40,42,118.7,27.5,121.3,23.9,Old
51,郝利娜,2017,50,50,163.8,20.9,177.2,43.9,Old
55,范龙,2018,54,54,161,20,157,23,Old
61,郑晓宁,2018,20,20,2.1,0.2,1.9,0.8,Old
62,叶阮昊,2018,78,78,4.24,0.57,4.22,0.61,Old
49,钱露露,2016,90,90,150,35,165,35,Old
