ID,Author,Year,Events.E,Total.E,Events.C,Total.C,Group
30,Chan et al.,2013,83,382,93,401,Combined
30,Chan et al.,2013,42,412,62,423,Combined
48,孙占磊,2016,3,40,9,42,Combined
56,吴志兰,2018,2,30,6,30,IVA
57,庞博,2018,1,39,6,39,IVA
60,姜景卫,2018,12,40,22,40,Combined
62,叶阮昊,2018,8,78,19,78,IVA
64,高英超,2019,0,56,1,56,IVA
92,Radtke,2013,91,575,118,580,Combined
