ID,Author,Year,n.c,n.e,mean.e,sd.e,mean.c,sd.c,group
2,Bannister et al.,2001,28,32,5,2.6,9.3,8.9,Child
2,Bannister et al.,2001,34,33,6.5,3.1,7.6,4.1,Child
2,Bannister et al.,2001,35,40,7.1,3.7,11.3,5.9,Child
8,Messieha et al.,2005,14,15,5,2,10,7,Child
41,Sargin et al.,2015,20,20,7.13,2.44,10.26,2.14,Child
24,王占天,2011,30,30,4.5,0.07,8.4,0.05,Child
26,沈艳喜,2011,15,15,100,75,320,82,Child
45,杜卫东,2015,40,40,6.81,2.25,12.52,3.69,Child
47,齐金莲,2015,30,30,17.91,0.76,27.17,3.03,Child
68,桂强军等,2019,39,39,8.2,1.5,8.1,1.5,Child
22,刘稚媛,2011,38,38,8.70,6.83,14.52,7.11,Old
25,陈金篆,2011,20,20,22.5,4.8,37.2,3.8,Old
39,段静辉,2014,41,41,9,3,26,8,Old
51,郝利娜,2017,50,50,18.1,10.3,32.9,12.3,Old
55,范龙,2018,54,54,27,4,28,4,Old
57,庞博,2018,39,39,10.98,1.25,15.52,1.2,Old
60,姜景卫,2018,40,40,66,28,82,41,Old
61,郑晓宁,2018,20,20,10.2,1.4,15.8,3.8,Old
62,叶阮昊,2018,78,78,14.16,1.83,17.28,2.84,Old
49,钱露露,2016,90,90,26,8,41,12,Old
82,耿莹等,2022,52,52,9.97,1.04,13.12,1.35,Old
74,黄梁淘等,2021,42,42,9.1,2.8,11.8,3.2,Old
75,李其金等,2021,46,46,10.2,1.2,12.4,1.5,Old
69,陈陈燕等,2020,58,58,1.45,0.83,2.83,1.04,Old
