ID,Author,Year,Events.E,Total.E,Events.C,Total.C,Group
19,Liao et al.,2011,7,52,9,54,Child
22,刘稚媛,2011,6,38,8,38,Old
24,王占天,2011,2,30,7,30,Child
43,蒋耀光,2015,2,40,2,40,Child
45,杜卫东,2015,1,40,8,40,Child
55,范龙,2018,1,54,2,54,Old
61,郑晓宁,2018,2,20,3,20,Old
94,Wildes,2019,48,614,55,617,Old
